Fabric	Classe	Perfil	d	tw	h	tf	bf	ec	Mate	Grau
FAM	CVS	600x369	600	22.4	511	44.5	400	8	A572	50
FAM	CVS	650x211	650	16	612	19	450	6	A572	50
FAM	CVS	650x234	650	16	605	22.4	450	8	A572	50
FAM	CVS	650x252	650	16	600	25	450	8	A572	50
FAM	CVS	650x266	650	19	600	25	450	8	A572	50
FAM	CVS	650x282	650	22.4	600	25	450	8	A572	50
FAM	CVS	650x310	650	19	587	31.5	450	8	A572	50
FAM	CVS	650x326	650	22.4	587	31.5	450	8	A572	50
FAM	CVS	650x351	650	19	575	37.5	450	8	A572	50
FAM	CVS	650x366	650	22.4	575	37.5	450	8	A572	50
FAM	CVS	650x413	650	22.4	561	44.5	450	8	A572	50
FAM	CVS	650x461	650	25	550	50	450	8	A572	50
FAM	CVS	700x214	700	12.5	662	19	500	6	A572	50
FAM	CVS	700x232	700	16	662	19	500	6	A572	50
FAM	CVS	700x278	700	16	650	25	500	8	A572	50
FAM	CVS	700x293	700	19	650	25	500	8	A572	50
FAM	CVS	700x327	700	16	637	31.5	500	8	A572	50
FAM	CVS	700x342	700	19	637	31.5	500	8	A572	50
FAM	CVS	750x284	750	16	700	25	500	8	A572	50
FAM	CVS	750x301	750	19	700	25	500	8	A572	50
FAM	CVS	750x334	750	16	687	31.5	500	8	A572	50
FAM	CVS	750x350	750	19	687	31.5	500	8	A572	50
FAM	CVS	800x288	800	16	755	22.4	550	8	A572	50
FAM	CVS	800x310	800	16	750	25	550	8	A572	50
FAM	CVS	800x328	800	19	750	25	550	8	A572	50
FAM	CVS	800x365	800	16	737	31.5	550	8	A572	50
FAM	CVS	800x382	800	19	737	31.5	550	8	A572	50
FAM	CVS	850x336	850	16	800	25	600	8	A572	50
FAM	CVS	850x355	850	19	800	25	600	8	A572	50
FAM	CVS	850x396	850	16	787	31.5	600	8	A572	50
FAM	CVS	850x414	850	19	787	31.5	600	8	A572	50
FAM	CVS	900x342	900	16	850	25	600	8	A572	50
FAM	CVS	900x362	900	19	850	25	600	8	A572	50
FAM	CVS	900x402	900	16	837	31.5	600	8	A572	50
FAM	CVS	900x422	900	19	837	31.5	600	8	A572	50
FAM	CVS	950x368	950	16	900	25	650	8	A572	50
