Fabricante	Classe	Perfil	d	tw	h	tf	bf	R/ec	Mate	Grau
FAB-B		CS	200x29	200	6.3	187	6.3	200	3	A572	50
FAB-B		CS	200x34	200	6.3	184	8	200	5	A572	50
FAB-B		CS	200x39	200	6.3	181	9.5	200	5	A572	50
FAB-B		CS	200x41	200	8	181	9.5	200	5	A572	50
FAB-B		CS	200x50	200	8	175	12.5	200	5	A572	50
FAB-B		CS	200x61	200	8	168	16	200	6	A572	50
FAB-B		CS	250x43	250	6.3	234	8	250	5	A572	50
FAB-B		CS	250x49	250	6.3	231	9.5	250	5	A572	50
FAB-B		CS	250x52	250	8	231	9.5	250	5	A572	50
FAB-B		CS	250x63	250	8	225	12.5	250	5	A572	50
FAB-B		CS	250x66	250	9.5	225	12.5	250	5	A572	50
FAB-B		CS	250x76	250	8	218	16	250	6	A572	50
FAB-B		CS	250x79	250	9.5	218	16	250	6	A572	50
FAB-B		CS	250x84	250	12.5	218	16	250	6	A572	50
FAB-B		CS	250x90	250	9.5	212	19	250	6	A572	50
FAB-B		CS	250x95	250	12.5	212	19	250	6	A572	50
FAB-B		CS	250x108	250	12.5	205	22.4	250	8	A572	50
FAB-B		CS	300x62	300	8	281	9.5	300	5	A572	50
FAB-B		CS	300x76	300	8	275	12.5	300	5	A572	50
FAB-B		CS	300x92	300	8	268	16	300	6	A572	50
FAB-B		CS	300x95	300	9.5	268	16	300	6	A572	50
FAB-B		CS	300x102	300	12.5	268	16	300	6	A572	50
FAB-B		CS	300x109	300	9.5	262	19	300	6	A572	50
FAB-B		CS	300x115	300	12.5	262	19	300	6	A572	50
FAB-B		CS	300x122	300	16	262	19	300	6	A572	50
FAB-B		CS	300x131	300	12.5	255	22.4	300	8	A572	50
FAB-B		CS	300x138	300	16	255	22.4	300	8	A572	50
FAB-B		CS	300x149	300	16	250	25	300	8	A572	50
FAB-B		CS	350x89	350	8	325	12.5	350	5	A572	50
FAB-B		CS	350x93	350	9.5	325	12.5	350	5	A572	50
FAB-B		CS	350x108	350	8	318	16	350	6	A572	50
FAB-B		CS	350x112	350	9.5	318	16	350	6	A572	50
FAB-B		CS	350x119	350	12.5	318	16	350	6	A572	50
FAB-B		CS	350x128	350	9.5	312	19	350	6	A572	50
FAB-B		CS	350x135	350	12.5	312	19	350	6	A572	50
FAB-B		CS	350x144	350	16	312	19	350	6	A572	50
FAB-B		CS	350x153	350	12.5	305	22.4	350	8	A572	50
FAB-B		CS	350x161	350	16	305	22.4	350	8	A572	50
FAB-B		CS	350x175	350	16	300	25	350	8	A572	50
FAB-B		CS	350x182	350	19	300	25	350	8	A572	50
FAB-B		CS	350x216	350	19	287	31.5	350	8	A572	50
FAB-B		CS	400x106	400	9.5	375	12.5	400	5	A572	50
FAB-B		CS	400x128	400	9.5	368	16	400	6	A572	50
FAB-B		CS	400x137	400	12.5	368	16	400	6	A572	50
FAB-B		CS	400x146	400	9.5	362	19	400	6	A572	50
FAB-B		CS	400x155	400	12.5	362	19	400	6	A572	50
FAB-B		CS	400x165	400	16	362	19	400	6	A572	50
FAB-B		CS	400x176	400	12.5	355	22.4	400	8	A572	50
FAB-B		CS	400x185	400	16	355	22.4	400	8	A572	50
FAB-B		CS	400x201	400	16	350	25	400	8	A572	50
FAB-B		CS	400x209	400	19	350	25	400	8	A572	50
FAB-B		CS	400x248	400	19	337	31.5	400	8	A572	50
FAB-B		CS	450x144	450	9.5	418	16	450	6	A572	50
FAB-B		CS	450x154	450	12.5	418	16	450	6	A572	50
FAB-B		CS	450x165	450	9.5	412	19	450	6	A572	50
FAB-B		CS	450x175	450	12.5	412	19	450	6	A572	50
FAB-B		CS	450x188	450	9.5	405	22.4	450	8	A572	50
FAB-B		CS	450x198	450	12.5	405	22.4	450	8	A572	50
FAB-B		CS	450x209	450	16	405	22.4	450	8	A572	50
FAB-B		CS	450x216	450	12.5	400	25	450	8	A572	50
FAB-B		CS	450x227	450	16	400	25	450	8	A572	50
