Fabricante	Classe	Perfil		d	tw	h	tf	bf	R/ec	Mate	Grau
FAB-B		VS	1400x478	1400	12.5	1311	44.5	500	8	A572	50
FAB-B		VS	1500x270	1500	12.5	1468	16	500	6	A572	50
FAB-B		VS	1500x293	1500	12.5	1462	19	500	6	A572	50
FAB-B		VS	1500x319	1500	12.5	1455	22.4	500	8	A572	50
FAB-B		VS	1500x339	1500	12.5	1450	25	500	8	A572	50
FAB-B		VS	1500x388	1500	12.5	1437	31.5	500	8	A572	50
FAB-B		VS	1500x434	1500	12.5	1425	37.5	500	8	A572	50
FAB-B		VS	1500x488	1500	12.5	1411	44.5	500	8	A572	50
FAB-B		VS	1600x328	1600	12.5	1555	22.4	500	8	A572	50
FAB-B		VS	1600x348	1600	12.5	1550	25	500	8	A572	50
FAB-B		VS	1600x398	1600	12.5	1537	31.5	500	8	A572	50
FAB-B		VS	1600x444	1600	12.5	1525	37.5	500	8	A572	50
FAB-B		VS	1600x498	1600	12.5	1511	44.5	500	8	A572	50
FAB-B		VS	1700x338	1700	12.5	1655	22.4	500	8	A572	50
FAB-B		VS	1700x358	1700	12.5	1650	25	500	8	A572	50
FAB-B		VS	1700x408	1700	12.5	1637	31.5	500	8	A572	50
FAB-B		VS	1700x454	1700	12.5	1625	37.5	500	8	A572	50
FAB-B		VS	1700x507	1700	12.5	1611	44.5	500	8	A572	50
FAB-B		VS	1800x348	1800	12.5	1755	22.4	500	8	A572	50
FAB-B		VS	1800x368	1800	12.5	1750	25	500	8	A572	50
FAB-B		VS	1800x418	1800	12.5	1737	31.5	500	8	A572	50
FAB-B		VS	1800x464	1800	12.5	1725	37.5	500	8	A572	50
FAB-B		VS	1800x517	1800	12.5	1711	44.5	500	8	A572	50
FAB-B		VS	1800x465	1800	16	1737	31.5	500	8	A572	50
FAB-B		VS	1800x511	1800	16	1725	37.5	500	8	A572	50
FAB-B		VS	1800x564	1800	16	1711	44.5	500	8	A572	50
FAB-B		VS	1900x429	1900	16	1850	25	500	8	A572	50
FAB-B		VS	1900x478	1900	16	1837	31.5	500	8	A572	50
FAB-B		VS	1900x524	1900	16	1825	37.5	500	8	A572	50
FAB-B		VS	1900x577	1900	16	1811	44.5	500	8	A572	50
FAB-B		VS	2000x461	2000	16	1950	25	550	8	A572	50
FAB-B		VS	2000x515	2000	16	1937	31.5	550	8	A572	50
FAB-B		VS	2000x566	2000	16	1925	37.5	550	8	A572	50
FAB-B		VS	2000x624	2000	16	1911	44.5	550	8	A572	50

